TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
1597175835440	-0.000076	0.000000	0.149940	0.707106	0.000024	-0.000024	-0.707107	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1597175835439533700.jpg
1597175835653	-0.000076	0.000000	0.149940	0.707106	0.000024	-0.000024	-0.707107	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1597175835652244900.jpg
1597175835870	-0.000076	0.000000	0.149940	0.707106	0.000024	-0.000024	-0.707107	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	img__0_1597175835868942400.jpg
1597175836086	-0.000076	0.000000	0.149940	0.707106	0.000024	-0.000024	-0.707107	1.000000	0.000000	0.000000	0	0	25.372316	0.000000	img__0_1597175836085094600.jpg
1597175836281	-0.000076	0.000000	0.152745	0.707106	0.000023	-0.000023	-0.707107	1.000000	0.000000	0.000000	0	0	262.907288	0.000000	img__0_1597175836280718700.jpg
1597175836501	-0.000073	0.000000	0.149626	0.707106	0.000023	-0.000023	-0.707107	1.000000	0.000000	0.000000	0	0	703.339355	0.000000	img__0_1597175836500725100.jpg
1597175836714	-0.000073	0.000000	0.146544	0.707106	0.000022	-0.000022	-0.707107	1.000000	0.000000	0.000000	0	0	1160.345581	0.000000	img__0_1597175836713302800.jpg
1597175836922	-0.000073	0.000000	0.144337	0.707106	0.000022	-0.000022	-0.707107	1.000000	0.000000	0.000000	0	0	1280.958862	0.000000	img__0_1597175836921567100.jpg
1597175837142	-0.000073	0.000000	0.143281	0.707106	0.000022	-0.000022	-0.707107	1.000000	0.000000	0.000000	1	0	1136.365112	0.000741	img__0_1597175837140693600.jpg
1597175837356	-0.000073	-0.011938	0.142074	0.707105	0.000291	0.000247	-0.707108	1.000000	0.000000	0.000000	1	0	1391.121948	0.351010	img__0_1597175837355347100.jpg
1597175837566	-0.000068	-0.058096	0.141200	0.707107	0.000748	0.000704	-0.707106	1.000000	0.000000	0.000000	1	0	1651.183960	0.653869	img__0_1597175837565365700.jpg
1597175837776	-0.000068	-0.135112	0.140664	0.707109	0.000994	0.000950	-0.707103	1.000000	0.000000	0.000000	1	0	1912.864258	0.986918	img__0_1597175837775547200.jpg
1597175837996	-0.000066	-0.243750	0.140298	0.707112	0.001213	0.001169	-0.707100	1.000000	0.000000	0.000000	1	0	2174.850098	1.271579	img__0_1597175837995164300.jpg
1597175838192	-0.000056	-0.381729	0.140094	0.707115	0.001280	0.001236	-0.707096	1.000000	0.000000	0.000000	1	0	2435.688477	1.591234	img__0_1597175838191539000.jpg
1597175838409	-0.000046	-0.550220	0.139940	0.707118	0.001380	0.001336	-0.707093	1.000000	0.000000	0.000000	1	0	2695.061279	1.865702	img__0_1597175838407817700.jpg
1597175838629	-0.000039	-0.747178	0.139871	0.707122	0.001374	0.001330	-0.707089	1.000000	0.000000	0.000000	1	0	2952.213623	2.177172	img__0_1597175838628025000.jpg
1597175838849	-0.000022	-0.973960	0.139802	0.707126	0.001430	0.001386	-0.707085	1.000000	0.000000	0.000000	1	0	3207.130615	2.445434	img__0_1597175838848815900.jpg
1597175839065	-0.000002	-1.228652	0.139785	0.707131	0.001401	0.001357	-0.707080	1.000000	0.000000	0.000000	1	0	3459.354248	2.750753	img__0_1597175839064383700.jpg
1597175839282	0.000022	-1.512588	0.139751	0.707135	0.001439	0.001396	-0.707075	1.000000	0.000000	0.000000	1	0	3708.967041	3.014580	img__0_1597175839281086700.jpg
1597175839498	0.000051	-1.823950	0.139755	0.707140	0.001398	0.001354	-0.707070	1.000000	0.000000	0.000000	1	0	3955.660156	3.313122	img__0_1597175839497339000.jpg
1597175839699	0.000090	-2.164043	0.139737	0.707145	0.001426	0.001382	-0.707065	1.000000	0.000000	0.000000	1	0	4199.556641	3.575129	img__0_1597175839698094900.jpg
1597175839918	0.000139	-2.531279	0.139748	0.707151	0.001385	0.001342	-0.707060	1.000000	0.000000	0.000000	1	0	4440.452637	3.868275	img__0_1597175839917318400.jpg
1597175840118	0.000195	-2.926836	0.139734	0.707157	0.001411	0.001368	-0.707054	1.000000	0.000000	0.000000	1	0	4678.471191	4.129478	img__0_1597175840117529300.jpg
1597175840350	0.000261	-3.349350	0.139747	0.707163	0.001375	0.001332	-0.707048	1.000000	0.000000	0.000000	1	0	4913.476563	4.417123	img__0_1597175840349351100.jpg
1597175840569	0.000342	-3.794087	0.139811	0.707170	0.001210	0.001167	-0.707041	1.000000	0.000000	0.000000	0	0	4929.114258	4.453701	img__0_1597175840568234600.jpg
1597175840778	0.000422	-4.239223	0.139963	0.707172	0.000821	0.000779	-0.707040	1.000000	0.000000	0.000000	2	0	4318.105957	4.514281	img__0_1597175840777070200.jpg
1597175840985	0.000508	-4.700630	0.139919	0.707174	0.000931	0.000889	-0.707039	1.000000	0.000000	0.000000	2	0	4364.656738	4.808344	img__0_1597175840984353000.jpg
1597175841201	0.000608	-5.192124	0.139860	0.707178	0.001081	0.001038	-0.707034	1.000000	0.000000	0.000000	2	0	4347.747559	5.206036	img__0_1597175841200665600.jpg
1597175841415	0.000723	-5.723569	0.131170	0.707185	0.001959	0.001917	-0.707023	1.000000	0.000000	0.000000	2	0	4335.570801	5.266046	img__0_1597175841413670400.jpg
1597175841634	0.000864	-6.281260	0.132589	0.707195	0.001775	0.001734	-0.707014	1.000000	0.000000	0.000000	2	0	4261.793457	5.743049	img__0_1597175841633544200.jpg
1597175841852	0.001028	-6.884799	0.133317	0.707203	0.001939	0.001898	-0.707005	1.000000	0.000000	0.000000	2	0	4192.328613	6.170123	img__0_1597175841850330600.jpg
1597175842061	0.001216	-7.528759	0.133843	0.707211	0.001937	0.001897	-0.706998	1.000000	0.000000	0.000000	2	0	4135.878906	6.628942	img__0_1597175842060152500.jpg
1597175842276	0.001431	-8.209775	0.134366	0.707215	0.001496	0.001456	-0.706995	1.000000	0.000000	0.000000	2	0	4087.737793	7.187470	img__0_1597175842274437000.jpg
1597175842489	0.001677	-8.936294	0.134210	0.707233	0.002404	0.002364	-0.706973	1.000000	0.000000	0.000000	2	0	4073.639648	7.416912	img__0_1597175842487351700.jpg
1597175842702	0.001951	-9.691137	0.134817	0.707247	0.001316	0.001275	-0.706964	1.000000	0.000000	0.000000	2	0	4050.288086	7.888584	img__0_1597175842701419100.jpg
1597175842901	0.002251	-10.492050	0.134507	0.707237	0.002286	0.002247	-0.706969	1.000000	0.000000	0.000000	2	0	4057.348389	8.071017	img__0_1597175842900092800.jpg
1597175843118	0.002590	-11.317827	0.134878	0.707258	0.001566	0.001527	-0.706952	1.000000	0.000000	0.000000	2	0	4058.358643	8.605285	img__0_1597175843117518200.jpg
1597175843340	0.002969	-12.183979	0.134643	0.707265	0.002213	0.002175	-0.706942	1.000000	0.000000	0.000000	2	0	4078.541992	8.816712	img__0_1597175843339264600.jpg
1597175843554	0.003381	-13.077022	0.135065	0.707273	0.001272	0.001234	-0.706939	1.000000	0.000000	0.000000	2	0	4094.048584	9.237143	img__0_1597175843552938200.jpg
1597175843769	0.003833	-14.010088	0.134730	0.707279	0.002114	0.002077	-0.706928	1.000000	0.000000	0.000000	2	0	4131.149414	9.418433	img__0_1597175843768265400.jpg
1597175843979	0.004316	-14.966289	0.135075	0.707289	0.001320	0.001283	-0.706922	1.000000	0.000000	0.000000	2	0	4161.830566	9.874651	img__0_1597175843977904800.jpg
1597175844188	0.004841	-15.960517	0.134778	0.707297	0.002043	0.002006	-0.706910	1.000000	0.000000	0.000000	2	0	4208.740234	10.056079	img__0_1597175844186602500.jpg
1597175844401	0.005403	-16.978354	0.135118	0.707306	0.001242	0.001205	-0.706905	1.000000	0.000000	0.000000	2	0	4249.584473	10.469851	img__0_1597175844400064600.jpg
1597175844608	0.006008	-18.032709	0.134821	0.707314	0.001959	0.001922	-0.706894	1.000000	0.000000	0.000000	2	0	4304.765625	10.648696	img__0_1597175844606584900.jpg
1597175844809	0.006650	-19.109760	0.135130	0.707323	0.001226	0.001189	-0.706889	1.000000	0.000000	0.000000	2	0	4353.772461	11.051240	img__0_1597175844807382200.jpg
1597175845019	0.007341	-20.222027	0.134854	0.707331	0.001888	0.001851	-0.706877	1.000000	0.000000	0.000000	2	0	4414.613770	11.230195	img__0_1597175845017987700.jpg
1597175845227	0.008071	-21.356743	0.135137	0.707340	0.001211	0.001174	-0.706871	1.000000	0.000000	0.000000	2	0	4469.600586	11.616029	img__0_1597175845225895100.jpg
1597175845440	0.008853	-22.525463	0.134882	0.707348	0.001823	0.001788	-0.706860	1.000000	0.000000	0.000000	2	0	4534.513184	11.796879	img__0_1597175845438855000.jpg
1597175845642	0.009678	-23.716455	0.135140	0.707357	0.001204	0.001168	-0.706854	1.000000	0.000000	0.000000	2	0	4593.889648	12.167903	img__0_1597175845640233400.jpg
1597175845846	0.010552	-24.940361	0.134906	0.707366	0.001766	0.001730	-0.706844	1.000000	0.000000	0.000000	2	0	4661.585449	12.351877	img__0_1597175845845657700.jpg
